Date;Time;Emperor_Penguin;Adelie_Penguin;Antartic_Petrel;Snow_Petrel;South_Polar_Skua;Crabeater_Seal;Weddel_Seal;Minke_Whale;Killer_Whale;krill;Latitude;Longitude
12/11/1994;0.32;1;0;1;1;0;0;0;0;0;0;-742.488;-178.755
12/11/1994;7.32;0;0;0;1;0;0;0;0;0;0;-754.062;1.779.308
12/11/1994;8.32;1;0;0;1;1;0;0;0;0;0;-75.572;177.465
12/11/1994;9.32;0;1;0;1;0;0;0;0;0;0;-757.263;1.769.645
12/11/1994;10.32;1;0;0;0;0;0;0;0;0;0;-758.805;1.765.613
12/11/1994;11.32;0;0;0;0;0;0;0;0;0;0;-760.005;1.760.112
12/11/1994;13.02;1;1;0;0;0;0;0;0;0;0;-762.337;1.753.703
12/11/1994;14.02;1;1;0;0;0;0;0;0;0;0;-76.427;1.751.022
12/11/1994;21.32;0;1;0;0;0;0;0;0;0;0;-765.817;1.745.445
12/11/1994;22.32;0;0;0;1;1;0;0;0;0;0;-767.455;1.742.703
12/11/1994;23.32;1;0;0;1;0;0;0;0;0;0;-769.158;174.005
13/11/1994;0.32;0;0;0;0;0;0;0;0;1;0;-770.988;1.737.358
13/11/1994;1.32;1;0;0;0;0;0;0;0;1;0;-772.558;1.735.008
13/11/1994;7.32;0;1;0;0;0;0;0;0;0;0;-768.453;1.698.928
13/11/1994;8.32;0;1;0;0;1;0;0;0;0;0;-76.782;169.378
13/11/1994;9.32;1;1;0;0;1;0;0;0;0;0;-766.992;1.690.353
13/11/1994;10.32;1;1;0;0;1;0;0;0;0;0;-766.822;1.690.208
13/11/1994;13.32;1;1;0;0;1;0;0;0;0;0;-767.053;1.697.047
13/11/1994;14.32;1;0;0;0;1;0;0;0;0;0;-766.897;170.592
13/11/1994;15.32;1;1;0;0;0;0;0;0;0;0;-766.492;171.435
13/11/1994;18.02;1;1;0;0;0;0;0;0;0;0;-765.492;1.720.278
13/11/1994;19.02;0;1;0;0;0;0;0;0;0;0;-763.983;171.92
13/11/1994;20.02;0;0;0;0;0;0;0;0;0;0;-762.663;1.717.858
13/11/1994;21.02;1;0;0;1;0;0;0;0;0;0;-761.525;171.69
13/11/1994;22.02;0;1;0;1;1;0;0;1;0;0;-760.195;171.618
13/11/1994;23;1;1;0;0;0;0;0;0;0;0;-75.895;1.715.583
14/11/1994;0;1;1;0;1;1;0;0;0;0;0;-75.793;1.715.308
14/11/1994;1;1;0;0;0;0;0;0;1;0;0;-758.958;1.720.145
14/11/1994;2;1;0;0;0;1;0;0;1;1;0;-759.955;172.35
14/11/1994;3;1;0;0;0;1;0;0;0;1;0;-761.003;1.728.658
14/11/1994;21.3;0;1;0;0;0;0;0;0;0;0;-764.995;1.759.492
14/11/1994;22.3;0;1;0;0;1;0;0;0;0;0;-764.695;1.764.413
14/11/1994;23.3;0;0;0;0;0;0;0;0;0;0;-76.442;176.935
15/11/1994;0.3;1;1;0;0;0;0;0;0;0;0;-764.292;1.774.217
15/11/1994;1.3;1;0;0;1;0;0;0;0;0;0;-764.153;177.802
15/11/1994;3;0;0;0;0;0;0;0;0;0;0;-764.142;176.92
15/11/1994;4;1;1;0;1;0;0;0;0;0;0;-76.402;176.433
15/11/1994;5;0;1;0;0;0;0;0;0;0;0;-763.887;1.760.453
15/11/1994;6;0;1;0;0;0;0;0;0;0;0;-763.983;1.756.595
15/11/1994;7;0;1;0;0;0;0;0;0;0;0;-763.358;1.750.178
15/11/1994;21.3;1;1;0;0;0;0;0;0;0;0;-760.722;174.563
15/11/1994;22.3;0;0;0;0;0;0;0;0;0;0;-760.063;1.742.395
16/11/1994;0.3;1;1;0;1;0;0;0;0;0;0;-759.262;173.832
16/11/1994;1.3;0;0;0;0;0;0;0;0;0;0;-758.472;173.253
16/11/1994;2.3;1;1;0;1;0;0;0;0;1;0;-757.222;1.727.183
16/11/1994;4;1;1;0;1;0;0;0;0;0;0;-758.038;173.503
16/11/1994;5;1;1;0;1;0;1;1;1;0;0;-758.717;1.741.555
16/11/1994;6;1;1;0;0;0;0;0;0;0;0;-75.938;1.745.858
16/11/1994;0;0;0;0;1;0;0;0;0;0;0;-756.728;1.754.562
17/11/1994;1;0;1;0;0;0;0;0;0;1;0;-756.495;1.759.303
17/11/1994;2;0;1;0;1;0;0;0;0;0;0;-755.855;1.762.408
17/11/1994;3;1;1;1;1;0;0;0;0;0;0;-755.387;1.767.892
17/11/1994;4;0;0;0;1;0;0;0;0;0;0;-755.508;1.766.705
17/11/1994;5;1;1;0;1;0;0;0;0;0;0;-755.678;1.761.375
17/11/1994;6;1;1;0;0;0;0;0;0;0;0;-755.353;175.548
17/11/1994;7;1;1;0;1;0;0;0;0;0;0;-754.953;1.749.958
17/11/1994;21;1;1;0;0;0;0;0;0;1;0;-75.377;1.736.642
17/11/1994;22;0;0;0;0;0;0;0;0;0;0;-753.625;173.097
17/11/1994;23.3;0;0;0;0;0;0;0;0;0;0;-75.402;1.729.888
18/11/1994;0.3;0;0;0;1;0;0;1;0;0;0;-755.897;1.729.592
18/11/1994;1.3;1;1;0;0;1;0;0;0;0;0;-757.783;1.729.295
18/11/1994;2.3;0;1;0;1;1;0;0;0;0;0;-759.445;1.729.472
18/11/1994;3.3;1;1;0;1;1;0;0;0;1;0;-761.275;1.729.545
18/11/1994;4.3;1;1;0;1;1;0;0;0;0;0;-763.117;1.729.358
18/11/1994;5.3;1;1;0;0;1;0;0;0;0;0;-764.938;1.730.175
19/11/1994;1.3;0;1;0;0;0;0;0;0;0;0;-765.333;1.719.945
19/11/1994;2.3;1;0;0;1;0;0;0;0;0;0;-76.553;1.715.075
19/11/1994;3.3;1;1;0;1;0;0;0;0;0;0;-765.755;1.710.755
19/11/1994;4.3;1;1;0;1;0;0;0;0;0;0;-766.083;1.705.962
19/11/1994;5.3;1;1;0;0;1;0;0;0;0;0;-766.367;1.701.058
19/11/1994;6.3;1;1;0;0;0;0;0;0;0;0;-766.472;1.697.242
19/11/1994;7.35;0;0;0;0;0;0;0;0;0;0;-766.783;169.428
19/11/1994;20.3;0;1;0;1;0;0;0;0;0;0;-765.812;1.699.683
20/11/1994;5;0;0;0;1;0;0;0;0;0;0;-765.288;1.743.272
20/11/1994;6;0;1;0;1;0;0;0;0;0;0;-765.092;1.748.155
20/11/1994;20.1;1;0;0;1;0;0;0;0;0;0;-761.695;1.749.717
21/11/1994;2.45;0;1;0;1;0;0;0;0;0;0;-761.453;175.237
21/11/1994;4;0;1;0;1;0;0;0;0;0;0;-760.995;1.757.363
21/11/1994;5;1;1;0;0;1;0;0;0;0;0;-760.842;1.763.003
21/11/1994;6;0;1;0;1;0;0;0;0;0;0;-76.035;1.757.528
21/11/1994;6.45;1;1;0;1;1;0;0;0;0;0;-760.147;1.752.895
